GC_stem_top,GC_stem_bottom,preRBS_length,toehold_length,MFE,AU_rich_RBS,on_off_ed
0,2,12,27,-19.8,1,264.6
0,2,9,26,-23.7,0,192.4
1,2,7,22,-22.5,1,153.4
0,3,4,16,-20.7,1,44.7
3,1,5,16,-23.2,1,40.5
0,3,2,14,-25.1,1,39.1
3,2,4,16,-22.3,0,33.9
1,3,5,14,-24.2,1,33.8
2,0,2,16,-23.6,1,32.2
2,1,5,15,-20.2,0,29.3
2,2,3,16,-23.9,0,29.1
0,0,5,16,-20.8,1,24.8
0,3,5,17,-24.2,1,24.1
2,1,3,8,-21.8,1,23.3
0,0,3,22,-22.1,1,17.7
1,3,2,14,-24.4,1,13.1
1,2,2,9,-22.6,1,9.4
1,2,5,9,-21.5,1,8.5
2,1,2,7,-22.4,0,7.4
0,0,3,9,-22,1,6.4
1,0,3,7,-20.8,0,3.3
2,0,2,9,-23,0,2
2,0,3,8,-22.8,1,1.5
2,2,5,8,-23.1,1,1.1
3,1,11,28,-20.2,1,292
0,2,12,25,-22.8,1,279.6
0,2,12,24,-20.5,1,265.3
0,2,10,28,-22.5,1,253
3,2,8,27,-22.6,1,219.8
0,2,9,30,-23,1,213.3
0,2,8,30,-22.7,1,200.8
1,1,7,23,-21.1,1,194.4
0,2,9,23,-20,1,181.2
0,2,8,24,-20,0,169.9
1,2,8,26,-20.3,0,155.3
1,2,6,26,-21.7,1,124.7
3,3,5,23,-23.1,1,123.2
0,2,6,29,-22.1,1,122.6
2,3,5,29,-20.4,1,115.1
2,1,5,25,-21,1,103.5
1,3,5,15,-23.6,0,101.9
3,0,4,17,-23.7,0,86.6
1,3,3,11,-23.3,0,83.1
2,1,4,19,-20.2,0,75.2
1,3,4,10,-24,0,74.8
0,0,5,13,-20.3,0,72.6
3,0,4,15,-21.8,0,68.2
3,0,3,11,-25.8,1,67.3
3,1,3,12,-25.2,1,66.9
1,3,2,13,-20.3,1,63.1
0,2,2,13,-20.4,0,63
0,1,3,11,-20.4,1,62
1,0,4,13,-22.1,0,59.4
1,1,2,11,-24.4,0,58.5
3,0,5,13,-23.8,1,57.1
0,3,3,14,-24.3,0,53.9
2,0,5,15,-24,0,53.4
0,2,4,15,-21.9,1,52.7
2,3,3,14,-21.4,1,51
3,0,5,10,-20.9,0,48.7
1,0,3,11,-25.1,1,48.6
3,2,4,10,-25.5,0,48.3
1,1,3,13,-24.9,1,42.4
1,3,2,11,-22.3,0,41.5
1,2,3,10,-21.6,0,41.4
2,0,4,8,-21,1,39.6
1,0,5,7,-23.9,1,38.7
3,1,4,7,-20.4,0,38.2
1,0,5,10,-24.9,0,37.6
1,0,4,10,-21.5,0,37.3
1,2,4,8,-24.5,1,36.8
1,0,3,12,-25.8,0,36.4
0,1,4,8,-25.3,1,33.3
0,2,2,9,-23.8,0,32.7
0,2,4,10,-25.7,0,30.2
3,1,2,11,-21,1,30
1,1,3,7,-25,1,29.4
0,2,3,11,-20.7,0,27.4
2,3,5,7,-20.1,1,26.2
1,1,3,9,-24.5,1,24.9
0,0,3,10,-20.5,0,24.5
2,3,2,12,-24.3,0,23.9
2,0,1,7,-21.8,0,22.8
3,2,1,8,-20.8,1,22.5
1,2,1,8,-22.9,1,22.3
3,1,1,8,-23,0,22
0,3,2,7,-21.4,0,21
2,2,2,8,-25.7,0,19.9
2,2,2,7,-25.8,0,19.7
1,3,4,10,-20.4,0,19.5
0,2,3,12,-25.5,0,18.8
3,0,2,7,-21.5,0,18.7
3,3,2,11,-25.4,0,18.6
2,1,2,8,-23.9,0,18.4
2,2,2,12,-22.5,1,18.4
2,0,1,8,-20.7,0,18
2,1,1,11,-22.9,0,18
3,0,2,10,-21.7,0,17.4
3,2,1,10,-23.2,0,17.2
2,3,2,12,-22.4,0,16.9
0,1,1,10,-20.9,0,16.9
3,2,3,10,-25.7,0,16.9
1,3,2,12,-22.4,1,16.6
2,1,2,8,-22.9,0,16.2
0,2,2,11,-22.9,0,16.1
1,3,5,12,-22.3,1,16
2,3,1,10,-20.4,0,15.7
1,1,2,8,-21.7,0,15.2
0,2,2,11,-21.7,0,13.6
3,2,1,10,-22.1,1,12.7
2,3,2,10,-20.8,1,12.4
2,1,2,11,-20.4,0,12.2
2,3,1,9,-21.5,0,11.4
0,3,1,8,-23.4,1,11
2,0,2,8,-24,0,10.3
0,3,1,7,-28.2,0,9.9
0,1,2,8,-23.8,0,9.8
0,3,2,8,-27,0,9.7
0,3,2,7,-25,0,9.6
0,2,2,8,-24.1,0,9
1,0,2,8,-24.4,0,8.9
3,0,1,8,-27.5,1,8.9
0,3,1,7,-25.6,0,8.7
3,1,3,8,-24.7,0,8.4
2,0,3,8,-27.4,0,8.1
0,2,1,7,-28.1,0,7.7
0,2,2,8,-24.4,0,7.3
0,2,3,8,-28.8,0,6.8
3,2,2,8,-28.7,1,6
3,3,2,7,-27.2,1,5.9
0,2,3,7,-27,1,5.8
0,1,2,6,-26.5,1,5.1
2,2,2,7,-25.7,1,4.7
1,2,1,7,-26.1,0,4.5
3,3,1,6,-24.4,0,4.5
2,2,1,6,-27.4,1,3.8
1,3,1,5,-24.1,0,3.7
1,3,1,6,-23.1,0,3.2
1,3,2,6,-27.7,0,3.1
0,0,2,5,-27.2,1,2.9
0,1,2,6,-26,1,2.9
3,2,3,5,-28.2,0,2.6
0,0,4,6,-25.9,0,2.6
1,2,2,6,-26.7,1,2.2
0,3,2,6,-28.4,1,2.1
2,2,4,6,-25,1,2
0,2,3,5,-24.1,0,2
2,3,2,5,-27,1,1.9
2,3,4,5,-27.6,0,1.9
1,3,2,6,-26.4,1,1.9
1,3,3,5,-25.3,1,1.9
3,1,2,5,-23.4,0,1.6
0,1,3,6,-25.2,1,1.4
0,3,3,5,-25.9,1,1.3
1,2,1,6,-25.7,0,1.3
3,3,2,6,-27.3,0,1.2
0,0,4,6,-28.7,0,1.2
0,3,3,5,-28.6,0,1.2
3,3,5,5,-23.8,0,1.2
1,0,2,5,-27,0,1.1
2,0,3,5,-24.3,0,1.1
0,1,2,6,-26.3,0,1.1
0,3,4,5,-27.4,0,1
0,1,2,6,-24.4,0,1
2,2,2,5,-26.8,0,0.9
2,0,2,6,-23.9,0,0.9
1,1,3,6,-23.4,0,0.9
0,3,3,5,-24.6,0,0.6004
0,2,12,25,-19.6,1,665
0,2,9,24,-18.9,1,586
0,2,10,22,-21.2,1,557
0,2,8,19,-19.2,1,483
1,2,11,18,-22.2,0,453
1,3,9,16,-20.2,0,409
0,2,10,20,-18.7,1,403
0,3,8,20,-19.6,0,393
0,2,9,21,-20.4,1,381
0,1,10,24,-19.6,1,343
0,2,8,24,-20.5,1,292
0,2,9,23,-22.4,1,288
3,2,4,16,-22.2,1,33